CS101,8123456789,10-10-2015 10:00:00,10-10-2015 10:00:59
CS103,9123456789,11-10-2015 11:00:00,11-10-2015 11:32:43
CS101,8123456789,11-10-2015 11:00:00,11-10-2015 11:51:00
CS105,0422-201430,12-10-2015 12:00:00,12-10-2015 12:05:16
CS105,0422-201430,12-10-2015 12:06:00,12-10-2015 12:10:20
CS101,8123456789,12-10-2015 12:00:00,12-10-2015 12:10:35
CS107,9764318520,13-10-2015 13:00:00,13-10-2015 13:10:15
CS109,0422-201430,16-10-2015 12:00:00,16-10-2015 12:05:16
CS109,0422-201430,18-10-2015 14:05:00,18-10-2015 14:15:00
CS109,0422-201430,19-10-2015 16:08:01,19-10-2015 16:35:57
